,,,Water Temperature,,,,,,,,,,Time,,,,,,,,,,,,,
,Date,Trial #,Drip,FMS,RBS,Raceway #,PIT Tag,TL (mm),WT (g),Fish Sp,L variable,R variable,In,Trial Start,Trial End,Acclimation,Trial Total,,,,,,,,,
20191125,11/25/2019,1,19.5,20,19.9,1,3DD.003BEFEB8C,123,12.24,FMS,F,R,9:19:46,9:25:00,9:54:26,0:05:14,0:29:26,,,,,,,,,
20191125,11/25/2019,1,19.5,20,19.9,2,3D6.1D593D5FDD,91,4.84,FMS,R,F,9:19:46,9:25:00,9:54:26,0:05:14,0:29:26,,,,,,,,,
20191125,11/25/2019,1,19.5,20,19.9,3,3D6.1D598B0138,107,8.28,FMS,R,F,9:19:52,9:25:00,9:54:26,0:05:08,0:29:26,,,,,,,,,
20191125,11/25/2019,1,19.5,20,19.9,4,3D6.1D593D5FD1,89,4.92,FMS,F,R,9:19:58,9:25:00,9:54:26,0:05:02,0:29:26,,,,,,,,,
20191125,11/25/2019,2,19.5,20,19.9,1,3D6.1D598B00A4,90,5.56,RBS,F,R,10:06:38,10:12:26,10:50:16,0:05:48,0:37:50,,,,,,,,,
20191125,11/25/2019,2,19.5,20,19.9,2,3D6.1D598B001C,119,12.54,RBS,R,F,10:06:44,10:12:26,10:50:16,0:05:42,0:37:50,,,,,,,,,
20191125,11/25/2019,2,19.5,20,19.9,3,3D6.1D598B0069,77,3.56,RBS,R,F,10:07:24,10:12:26,10:50:16,0:05:02,0:37:50,,,,,,,,,
20191125,11/25/2019,2,19.5,20,19.9,4,3D6.1D598B007D,81,4.5,RBS,F,R,10:07:28,10:12:26,10:50:16,0:04:58,0:37:50,,,,,,,,,
20191127,11/27/2019,1,19.3,19.8,19.4,1,3D6.0015991756,108,11.23,RBS,F,R,9:22:16,9:27:26,10:06:30,0:05:10,0:39:04,,,,,,,,,
20191127,11/27/2019,1,19.3,19.8,19.4,2,3D6.1D593D5F49,112,9.66,FMS,F,R,9:22:20,9:27:26,10:06:30,0:05:06,0:39:04,,,,,,,,,
20191127,11/27/2019,1,19.3,19.8,19.4,3,3D6.1D598B0092,75,3.56,RBS,R,F,9:22:22,9:27:26,10:06:30,0:05:04,0:39:04,,,,,,,,,
20191127,11/27/2019,1,19.3,19.8,19.4,4,3D6.1D593D5FD4,103,7.05,FMS,R,F,9:22:26,9:27:26,10:06:30,0:05:00,0:39:04,,,,,,,,,
20191127,11/27/2019,2,19.3,19.8,19.4,1,3D6.1D593D5FCC,122,12.38,FMS,F,R,10:20:48,10:26:16,11:05:56,0:05:28,0:39:40,,,,,,,,,
20191127,11/27/2019,2,19.3,19.8,19.4,2,3D6.1D598B0021,86,5.35,RBS,F,R,10:20:54,10:26:16,11:05:56,0:05:22,0:39:40,,,,,,,,,
20191127,11/27/2019,2,19.3,19.8,19.4,3,3DD.003BEFEBDD,135,15.15,FMS,R,F,10:21:08,10:26:16,11:05:56,0:05:08,0:39:40,,,,,,,,,
20191127,11/27/2019,2,19.3,19.8,19.4,4,3D6.1D598AFFDD,76,3.62,RBS,R,F,10:21:16,10:26:16,11:05:56,0:05:00,0:39:40,,,,,,,,,
20191202,12/2/2019,1,19.4,19.8,19.6,1,3D6.1D598B0038,77,3.58,RBS,F,R,9:31:46,9:37:46,10:12:16,0:06:00,0:34:30,,,,,,,,,
20191202,12/2/2019,1,19.4,19.8,19.6,2,3D6.1D598B0119,90,4.78,FMS,F,R,9:31:28,9:37:46,10:12:16,0:06:18,0:34:30,,,,,,,,,
20191202,12/2/2019,1,19.4,19.8,19.6,3,3D6.1D598B007C,92,6.13,RBS,R,F,9:32:44,9:37:46,10:12:16,0:05:02,0:34:30,,,,,,,,,
20191202,12/2/2019,1,19.4,19.8,19.6,4,3D6.1D593D57D,108,8.25,FMS,F,R,9:31:32,9:37:46,10:12:16,0:06:14,0:34:30,,,,,,,,,
20191202,12/2/2019,2,19.4,19.8,19.6,1,3D6.1D598B0033,113,10.95,RBS,F,R,10:25:52,10:31:02,11:10:08,0:05:10,0:39:06,,,,,,,,,
20191202,12/2/2019,2,19.4,19.8,19.6,2,3D6.1D593D5F1D,132,13.03,FMS,F,R,10:25:40,10:31:02,11:10:08,0:05:22,0:39:06,,,,,,,,,
20191202,12/2/2019,2,19.4,19.8,19.6,3,3D6.1D598B0137,90,4.46,FMS,R,F,10:25:44,10:31:02,11:10:08,0:05:18,0:39:06,,,,,,,,,
20191202,12/2/2019,2,19.4,19.8,19.6,4,3D6.1D598AFFEF,86,4.72,RBS,F,R,10:26:00,10:31:02,11:10:08,0:05:02,0:39:06,,,,,,,,,
20191213,12/13/2019,1,19.5,20.2,20,1,3D6.1D598B00E4,99,6.23,FMS,F,R,9:33:18,9:38:50,10:15:36,0:05:32,0:36:46,,,,,,,,,
20191213,12/13/2019,1,19.5,20.2,20,2,3D6.1D593D5F88,104,7.53,FMS,R,F,9:33:22,9:38:50,10:15:36,0:05:28,0:36:46,,,,,,,,,
20191213,12/13/2019,1,19.5,20.2,20,3,3D6.1D598B0060,94,6.45,RBS,R,F,9:33:36,9:38:50,10:15:36,0:05:14,0:36:46,,,,,,,,,
20191213,12/13/2019,1,19.5,20.2,20,4,3D6.1D598B00A6,75,3.54,RBS,F,R,9:33:42,9:38:50,10:15:36,0:05:08,0:36:46,,,,,,,,,
20191213,12/13/2019,2,19.5,20.2,20,1,3DD.003BEFDA1A,126,19.31,RBS,F,R,10:26:54,10:32:00,11:07:40,0:05:06,0:35:40,,,,,,,,,
20191213,12/13/2019,2,19.5,20.2,20,2,3DD.003BCF3D18,122,11.52,FMS,R,F,10:26:42,10:32:00,11:07:40,0:05:18,0:35:40,,,,,,,,,
20191213,12/13/2019,2,19.5,20.2,20,3,3D6.1D598B0059,110,10.62,RBS,R,F,10:27:00,10:32:00,11:07:40,0:05:00,0:35:40,,,,,,,,,
20191213,12/13/2019,2,19.5,20.2,20,4,3D6.10593D5FAA,97,6.52,FMS,F,R,10:26:46,10:32:00,11:07:40,0:05:14,0:35:40,,,,,,,,,
20191215,12/15/2019,1,19.2,20.3,19.9,1,3D6.1D598B0128,121,11.16,FMS,F,R,12:34:32,12:45:06,13:17:16,0:10:34,0:32:10,,,,,,,,,
20191215,12/15/2019,1,19.2,20.3,19.9,2,3D6.10593D5FB4,107,7.86,FMS,R,F,12:34:36,12:45:06,13:17:16,0:10:30,0:32:10,,,,,,,,,
20191215,12/15/2019,1,19.2,20.3,19.9,3,3D6.1D598B00D8,87,5.39,RBS,F,R,12:34:54,12:45:06,13:17:16,0:10:12,0:32:10,,,,,,,,,
20191215,12/15/2019,1,19.2,20.3,19.9,4,3D6.1D59880053,94,6.94,RBS,R,F,12:34:58,12:45:06,13:17:16,0:10:08,0:32:10,,,,,,,,,
20191215,12/15/2019,2,19.2,20.3,19.9,1,3D6.1D593D5FB7,95,5.8,FMS,F,R,13:34:38,13:40:00,14:15:44,0:05:22,0:35:44,,,,,,,,,
20191215,12/15/2019,2,19.2,20.3,19.9,2,3D6.1D598B008B,79,4.22,RBS,R,F,13:34:54,13:40:00,14:15:44,0:05:06,0:35:44,,,,,,,,,
20191215,12/15/2019,2,19.2,20.3,19.9,3,3DD.003BEFEBCC,136,14.42,FMS,F,R,13:34:46,13:40:00,14:15:44,0:05:14,0:35:44,,,,,,,,,
20191215,12/15/2019,2,19.2,20.3,19.9,4,3D6.001599171A,111,11.37,RBS,R,F,13:34:58,13:40:00,14:15:44,0:05:02,0:35:44,,,,,,,,,
20191220,12/20/2019,1,19,19.5,19.4,1,3DD.003BFCEDE7,155,23.5,FMS,F,R,9:02:00,9:07:50,9:43:32,0:05:50,0:35:42,,,,,,,,,
20191220,12/20/2019,1,19,19.5,19.4,2,3D6.1D598B002C,93,6.64,RBS,F,R,9:02:40,9:07:50,9:43:32,0:05:10,0:35:42,,,,,,,,,
20191220,12/20/2019,1,19,19.5,19.4,3,3D6.1D593D5F68,170,27.47,FMS,R,F,9:02:32,9:07:50,9:43:32,0:05:18,0:35:42,,,,,,,,,
20191220,12/20/2019,1,19,19.5,19.4,4,3D6.1D598B009C,103,9.34,RBS,R,F,9:02:48,9:07:50,9:43:32,0:05:02,0:35:42,,,,,,,,,
20191220,12/20/2019,2,19,19.5,19.4,1,3DD.D03BEFD372,150,27.98,RBS,F,R,9:53:46,9:59:00,10:35:40,0:05:14,0:36:40,,,,,,,,,
20191220,12/20/2019,2,19,19.5,19.4,2,3D6.00159916E9,123,15.66,RBS,F,R,9:54:00,9:59:00,10:35:40,0:05:00,0:36:40,,,,,,,,,
20191220,12/20/2019,2,19,19.5,19.4,3,3DD.003BEFEBC9,139,16.64,FMS,R,F,9:53:30,9:59:00,10:35:40,0:05:30,0:36:40,,,,,,,,,
20191220,12/20/2019,2,19,19.5,19.4,4,3D6.1D593D5F91,101,7.02,FMS,R,F,9:53:36,9:59:00,10:35:40,0:05:24,0:36:40,,,,,,,,,
